Children and Family Court Advisory and Support Service,childrenAndFamilyCourtAdvisoryAndSupportService,Children and Family Court Advisory and Support Service,,structured,,
street CCTV,clg.streetCCTV,CLG,police.multimediaEvidence,unstructured,shared,
Costs Draftsmen,costsDraftsmen,Costs Draftsmen,,structured,closed,
evidence,cps.criminalCase.evidence,CPS,otherProsecutingAuthorities; defenseFirms,structured,shared,
charging decision,cps.chargingDecision,CPS,,structured,closed,
bail recommendation,cps.bailRecommendation,CPS,,structured,closed,
anticipated plea,cps.anticipatedPlea,CPS,,structured,closed,
pre-hearing information,cps.preHearingInformation,CPS,,structured,closed,
prosecutor view,cps.criminalCase.prosecutorView,CPS,otherProsecutingAuthorities; defenseFirms,structured,shared,
IDPC,cps.criminalCase.IDPC,CPS,otherProsecutingAuthorities; defenseFirms,structured,shared,
jury vetting service,cps.juryVettingService,CPS,hmcts.jurors,structured,shared,
bail/remand details,cps.bailRemandDetails,CPS,,structured,closed,
Criminal Cases Review Commission,criminalCasesReviewCommission,Criminal Cases Review Commission,,structured,closed,
workflows and processes,criminalInjuriesCompensationAuthority.workflowsAndProcesses,Criminal Injuries Compensation Authority,,structured,closed,Tempest
cases,criminalInjuriesCompensationAuthority.cases,Criminal Injuries Compensation Authority,,structured,,TARIIF
Disclosure and Barring Service,vetting.disclosureAndBarringService,Disclosure & Barring Service ,securityIndustryAuthority.staffVetting,structured,shared,
Disclosure Scotland,vetting.disclosureScotland,Disclosure & Barring Service ,securityIndustryAuthority.staffVetting,structured,shared,
Access Northern Ireland,vetting.accessNorthernIreland,Disclosure & Barring Service ,securityIndustryAuthority.staffVetting,structured,shared,
stolen vehicles,dvla.stolenVehicles,DVLA,police.national.vehiclesUsedInCrime,structured,shared,
vehicle registry ,dvla.vehicleRegistry ,DVLA,police.national.vehiclesUsedInCrime,structured,shared,
number plate recognition (ANPR),police.NAS.ANPR,DVLA,police.national.vehiclesUsedInCrime,structured,shared,
drivers,dvla.drivers,DVLA,police.national.vehiclesUsedInCrime; police.national.disqualifiedDrivers ,structured,shared,
benefits,dwp.benefits,DWP,,structured,,
