charging decision,cps.chargingDecision,CPS,
jury vetting service,cps.juryVettingService,CPS,hmcts.jurors
prosecutor view,cps.criminalCase.prosecutorView,,"otherProsecutingAuthorities, defenseFirms"
IDPC,cps.criminalCase.IDPC,,"otherProsecutingAuthorities, defenseFirms"
evidence,cps.criminalCase.evidence,,"otherProsecutingAuthorities, defenseFirms"
bail recommendation,cps.bailRecommendation,CPS,
anticipated plea,cps.anticipatedPlea,CPS,
pre-hearing information,cps.preHearingInformation,CPS,
bail/remand details,cps.bailRemandDetails,CPS / HMCTS,
Street CCTV,clg.streetCCTV,CLG,police.multimediaEvidence
Pre-sentence report,hmcts.preSentenceReport,HMCTS,
Orders,hmcts.orders,HMCTS,
Discharges,hmcts.discharges,HMCTS,
Fines & Payment Terms,hmcts.finesAndPaymentTerms,HMCTS,
Results,hmcts.results,HMCTS,"police.convictions, police.disposals, hmpps.offender, hmcts.disqualifications, hmcts.discharges, hmcts.finesAndPaymentTerms, hmcts.orders"
Variations,hmcts.variations,HMCTS,
disqualifications,hmcts.disqualifications,HMCTS,
Blocks,hmcts.blocks,HMCTS,
Sessions,hmcts.sessions,HMCTS,"hmcts.blocks, hmcts.presidingJudiciary"
blocks,hmcts.blocks,HMCTS,
court logs,hmcts.courtLogs,HMCTS,
Presiding Judiciary,hmcts.presidingJudiciary,HMCTS,
"Charges, charge counts",hmcts.chargesChargeCounts,HMCTS,
Offences,hmcts.offences,HMCTS,hmcts.offenceInstances
Offence Instances,hmcts.offenceInstances,HMCTS,hmcts.indictments
Indictments,hmcts.indictments,HMCTS,
Cases,hmcts.cases,HMCTS,"hmcts.actionPlans, hmcts.materials, hmcts.indictments, hmcts.defendants, cps.caseInformation"
Materials,hmcts.materials,HMCTS,
Preparations,hmcts.preparations,HMCTS,hmcts.cases
Action Plans,hmcts.actionPlans,HMCTS,hmcts.preChargeRequestsAndDecisions
Pre-Charge Request and Decisions,hmcts.preChargeRequestsAndDecisions,HMCTS,
Jurors,hmcts.jurors,HMCTS,
Facilities,hmcts.facilities,HMCTS,hmcts.courtRooms
Court Rooms,hmcts.courtRooms,HMCTS,hmcts.courtBuildings
Court Buildings,hmcts.courtBuildings,HMCTS,
Organisations,hmcts.organisations,HMCTS,
Orders,hmcts.orders,HMCTS,
Applications,hmcts.applications,HMCTS,"otherProsecutingAuthorities, defenseFirms"
Defendants,hmcts.defendants,HMCTS,hmcts.persons
Persons,hmcts.persons,HMCTS,hmcts.roles
Roles,hmcts.roles,HMCTS,
Investigator,hmcts.investigator,HMCTS,
Victim / Witness,hmcts.victimWitness,HMCTS,
Magistrate's Court Interface,hmcts.magistratesCourtInterface,HMCTS,police.disposals
Crown Court Reporting,hmcts.crownCourtReporting,HMCTS,police
Recordings and Transcriptions,hmcts.recordingsAndTranscriptions,HMCTS,
Types Of Materials,hmcts.typesOfMaterials,HMCTS,hmcts.materials
Hearings ,hearings,HMCTS,"police, yjb, hmcts.unscheduledList, hmcts.sessions"
Unscheduled List,hmcts.unscheduledList,HMCTS,
Passports biographics,hmpo.passportBiographics,HMPO,"visaAndImmigration.immigrationsStatusBiographics, visaAndImmigration.asylumStatusBiographics, visaAndImmigration.visaStatusBiographics"
Passport - biometrics,hmpo.passportBiometrics,HMPO,"visaAndImmigration.immigrationStatusBiometrics, visaAndImmigration.asylumStatusBiometrics, visaAndImmigration.visaStatusBiometrics"
Lost & Stolen: passport ,hmpo.lostAndStolenPassport,HMPO,"police, homeOffice"
In/ Out UK,visaAndImmigration.inOutUK,VisaAndImmigration,
Immigration Status Biographics,visaAndImmigration.immigrationStatusBiographics,VisaAndImmigration,hmpo.passportBiographics
