Children and Family Court Advisory and Support Service,childrenAndFamilyCourtAdvisoryAndSupportService,Children and Family Court Advisory and Support Service,,
Street CCTV,clg.streetCCTV,CLG,police.multimediaEvidence,
Costs Draftsmen,costsDraftsmen,Costs Draftsmen,,
evidence,cps.criminalCase.evidence,CPS,"otherProsecutingAuthorities, defenseFirms",
charging decision,cps.chargingDecision,CPS,,
bail recommendation,cps.bailRecommendation,CPS,,
anticipated plea,cps.anticipatedPlea,CPS,,
pre-hearing information,cps.preHearingInformation,CPS,,
prosecutor view,cps.criminalCase.prosecutorView,CPS,"otherProsecutingAuthorities, defenseFirms",
IDPC,cps.criminalCase.IDPC,CPS,"otherProsecutingAuthorities, defenseFirms",
jury vetting service,cps.juryVettingService,CPS,hmcts.jurors,
bail/remand details,cps.bailRemandDetails,CPS,,HMCTS?
Criminal Cases Review Commission,criminalCasesReviewCommission,Criminal Cases Review Commission,,
Criminal Injuries Compensation Authority,criminalInjuriesCompensationAuthority,Criminal Injuries Compensation Authority,,
Disclosure Scotland,disclosureAndBarringService.disclosureScotland,Disclosure & Barring Service ,,
Access Northern Ireland,disclosureAndBarringService.accessNorthernIreland,Disclosure & Barring Service ,,
Stolen vehicles,dvla.stolenVehicles,DVLA,police.commandAndControl.vehiclesUsedInCrime,
Vehicle registry ,dvla.vehicleRegistry ,DVLA,police.commandAndControl.vehiclesUsedInCrime,
Number plate recognition (ANPR),dvla.ANPR,DVLA,police.commandAndControl.vehiclesUsedInCrime,
Drivers,dvla.drivers,DVLA,"police.commandAndControl.vehiclesUsedInCrime, police.national.disqualifiedDrivers ",
Benefits,dwp.benefits,DWP,,
Education Provider,educationProviders,Education Provider,"youthOffendingInstitutions, secureChildrensHomes, secureTrainingCentres, yjb.case, youthOffendingTeams, NHS, localAuthorities",
SISII,european.SISII,European,,
E427 / IS + NO + CH + LI,european.E427,European,,
Alerts,european.alerts,European,,
Persons ,european.persons,European,,
Property ,european.property,European,,
Travel docs,european.travelDocuments,European,,
HM Prison Service,HMPrisonService,HM Prison Service,,
Pre-sentence report,hmcts.preSentenceReport,HMCTS,,
Orders,hmcts.orders,HMCTS,,
Discharges,hmcts.discharges,HMCTS,,
Fines & Payment Terms,hmcts.finesAndPaymentTerms,HMCTS,,
Variations,hmcts.variations,HMCTS,,
disqualifications,hmcts.disqualifications,HMCTS,,
blocks,hmcts.blocks,HMCTS,,
court logs,hmcts.courtLogs,HMCTS,,
Presiding Judiciary,hmcts.presidingJudiciary,HMCTS,,
"Charges, charge counts",hmcts.chargesChargeCounts,HMCTS,,
Indictments,hmcts.indictments,HMCTS,,
Offence Instances,hmcts.offenceInstances,HMCTS,hmcts.indictments,
Offences,hmcts.offences,HMCTS,hmcts.offenceInstances,
Materials,hmcts.materials,HMCTS,,
Action Plans,hmcts.actionPlans,HMCTS,hmcts.preChargeRequestsAndDecisions,
Pre-Charge Request and Decisions,hmcts.preChargeRequestsAndDecisions,HMCTS,,
Jurors,hmcts.jurors,HMCTS,,
Court Buildings,hmcts.courtBuildings,HMCTS,,
Organisations,hmcts.organisations,HMCTS,,
Orders,hmcts.orders,HMCTS,,
Roles,hmcts.roles,HMCTS,,
Persons,hmcts.persons,HMCTS,hmcts.roles,
Defendants,hmcts.defendants,HMCTS,hmcts.persons,
Investigator,hmcts.investigator,HMCTS,,
Victim / Witness,hmcts.victimWitness,HMCTS,,
Recordings and Transcriptions,hmcts.recordingsAndTranscriptions,HMCTS,,
Unscheduled List,hmcts.unscheduledList,HMCTS,,
Applications,hmcts.applications,HMCTS,"otherProsecutingAuthorities, defenseFirms",
Crown Court Reporting,hmcts.crownCourtReporting,HMCTS,police,
Types Of Materials,hmcts.typesOfMaterials,HMCTS,hmcts.materials,
Court Rooms,hmcts.courtRooms,HMCTS,hmcts.courtBuildings,
Facilities,hmcts.facilities,HMCTS,hmcts.courtRooms,
Cases,hmcts.cases,HMCTS,"hmcts.actionPlans, hmcts.materials, hmcts.indictments, hmcts.defendants, cps.criminalCase",
Sessions,hmcts.sessions,HMCTS,"hmcts.blocks, hmcts.presidingJudiciary",
Hearings ,hmcts.hearings,HMCTS,"police, yjb, hmcts.unscheduledList, hmcts.sessions",
Magistrate's Court Interface,hmcts.magistratesCourtInterface,HMCTS,police.national.disposals,
Results,hmcts.results,HMCTS,"police.convictions, police.national.disposals, hmpps.custodyAndCommunities.offender, hmcts.disqualifications, hmcts.discharges, hmcts.finesAndPaymentTerms, hmcts.orders",
Lost & Stolen: passport ,hmpo.lostAndStolenPassport,HMPO,"police, homeOffice",
Passports biographics,hmpo.passportBiographics,HMPO,"visaAndImmigration.immigrationStatusBiographics, visaAndImmigration.asylumStatusBiographics, visaAndImmigration.visaStatusBiographics",
Passport - biometrics,hmpo.passportBiometrics,HMPO,"visaAndImmigration.immigrationStatusBiometrics, visaAndImmigration.asylumStatusBiometrics, visaAndImmigration.visaStatusBiometrics",
offender,hmpps.custodyAndCommunities.offender,HMPPS,dwp.benefits,
incidents,hmpps.custodyAndCommunities.incidents,HMPPS,,
staff,hmpps.corporate.staff,HMPPS,,
accidents,hmpps.accidents,HMPPS,,
intelligence,hmpps.intelligence,HMPPS,,
visits,hmpps.visits,HMPPS,,
foreign national prisoners,hmpps.foreignNationalPrisoners,HMPPS,,
prisoner escort court service,hmpps.corporate.prisonerEscortCourtService,HMPPS,,
electronic monitoring,hmpps.electronicMonitoring,HMPPS,,
programmes/interventions,hmpps.custodyAndCommunities.programmesInterventions,HMPPS,,
offender learning,hmpps.custodyAndCommunities.offenderLearning,HMPPS,,
finance,hmpps.custodyAndCommunities.finance,HMPPS,,
procurement,hmpps.custodyAndCommunities.procurement,HMPPS,,
public protection casework section,hmpps.publicProtectionCaseworkSection,HMPPS,,
"bail, accommodation and support services",hmpps.bailAccommodationAndSupportServices,HMPPS,,
Incidents,hmpps.custodyAndContracts.incidents,HMPPS,,
Community Rehabilitation Companies,hmpps.communityRehabilitationCompanies,HMPPS,hmpps.custodyAndContracts.incidents,
Private Prisons,hmpps.privatePrisons,HMPPS,hmpps.custodyAndContracts.incidents,
audits / inspections,hmpps.custodyCommunityAndContracts.auditsInspections,HMPPS,"hmpps.communityRehabilitationCompanies, hmpps.privatePrisons",
Home Office,homeOffice.homeOffice,Home Office,,
Independent Monitoring Board,independentMonitoringBoard,Independent Monitoring Board,hmpps.custodyCommunityAndContracts.auditsInspections,
